alpha,gamma,sigma,activation,loss,lambda,logit,rho
0.48081593006313733,4.15959595959596,0.5,erf,loss,0.6236680050387524,logit,1.0
0.469639468690702,4.258585858585859,0.5,erf,loss,0.6211385441779284,logit,1.0
0.4589707927677329,4.357575757575758,0.5,erf,loss,0.6187369716155668,logit,1.0
0.44877606527651853,4.456565656565657,0.5,erf,loss,0.6164542675539131,logit,1.0
0.4390243902439024,4.555555555555556,0.5,erf,loss,0.6142817641105698,logit,1.0
0.42968749999999994,4.654545454545455,0.5,erf,loss,0.6122116155111764,logit,1.0
0.42073948151296214,4.753535353535354,0.5,erf,loss,0.6102370501226964,logit,1.0
0.4121565362198168,4.852525252525253,0.5,erf,loss,0.6083516608797263,logit,1.0
0.40391676866585063,4.951515151515152,0.5,erf,loss,0.6065493926968278,logit,1.0
0.39599999999999996,5.050505050505051,0.5,erf,loss,0.6048253478593895,logit,1.0
0.38838760298156133,5.14949494949495,0.5,erf,loss,0.6031745478530988,logit,1.0
0.38106235565819857,5.248484848484849,0.5,erf,loss,0.6015921836558182,logit,1.0
0.37400831129580653,5.347474747474748,0.5,erf,loss,0.6000742205102487,logit,1.0
0.3672106824925816,5.446464646464647,0.5,erf,loss,0.5986169980307957,logit,1.0
0.36065573770491793,5.545454545454547,0.5,erf,loss,0.5972168387177729,logit,1.0
0.35433070866141725,5.644444444444446,0.5,erf,loss,0.5958706440922131,logit,1.0
0.3482237073513893,5.743434343434345,0.5,erf,loss,0.5945753177080773,logit,1.0
0.3423236514522821,5.842424242424244,0.5,erf,loss,0.5933278128449517,logit,1.0
0.3366201972118326,5.9414141414141435,0.5,erf,loss,0.592125943340715,logit,1.0
0.33110367892976583,6.0404040404040416,0.5,erf,loss,0.5909671400406589,logit,1.0
0.3257650542941757,6.13939393939394,0.5,erf,loss,0.5898490051377139,logit,1.0
0.3205958549222797,6.23838383838384,0.5,erf,loss,0.5887697570429633,logit,1.0
0.3155881415364998,6.337373737373738,0.5,erf,loss,0.5877271766703795,logit,1.0
0.3107344632768361,6.436363636363637,0.5,erf,loss,0.5867194091310942,logit,1.0
0.3060278207109737,6.535353535353536,0.5,erf,loss,0.5857448851750183,logit,1.0
0.3014616321559074,6.634343434343435,0.5,erf,loss,0.5848019497413075,logit,1.0
0.29702970297029696,6.733333333333335,0.5,erf,loss,0.5838892674767775,logit,1.0
0.29272619751626255,6.832323232323232,0.5,erf,loss,0.5830051174096134,logit,1.0
0.28854561352375396,6.931313131313132,0.5,erf,loss,0.5821484256908523,logit,1.0
0.2844827586206896,7.030303030303031,0.5,erf,loss,0.5813177516093314,logit,1.0
0.2805327288183621,7.12929292929293,0.5,erf,loss,0.5805120877171449,logit,1.0
0.27669088876467296,7.228282828282829,0.5,erf,loss,0.5797301327311144,logit,1.0
0.27295285359801486,7.327272727272728,0.5,erf,loss,0.578971326605644,logit,1.0
0.2693144722524483,7.426262626262626,0.5,erf,loss,0.5782341993000988,logit,1.0
0.2657718120805369,7.525252525252525,0.5,erf,loss,0.5775180293849939,logit,1.0
0.2623211446740858,7.624242424242426,0.5,erf,loss,0.5768219270050272,logit,1.0
0.2589589327753073,7.723232323232325,0.5,erf,loss,0.5761448256838914,logit,1.0
0.2556818181818181,7.822222222222224,0.5,erf,loss,0.5754864904178701,logit,1.0
0.25248661055853094,7.921212121212123,0.5,erf,loss,0.5748455852737776,logit,1.0
0.24937027707808562,8.02020202020202,0.5,erf,loss,0.5742220457257563,logit,1.0
0.24632993281910923,8.11919191919192,0.5,erf,loss,0.5736146398109053,logit,1.0
0.24336283185840707,8.218181818181819,0.5,erf,loss,0.5730226567689976,logit,1.0
0.2404663589992713,8.317171717171718,0.5,erf,loss,0.5724461967849547,logit,1.0
0.23763802208353335,8.416161616161617,0.5,erf,loss,0.5718842267097863,logit,1.0
0.23487544483985764,8.515151515151516,0.5,erf,loss,0.5713360273550983,logit,1.0
0.2321763602251407,8.614141414141415,0.5,erf,loss,0.5708015270778893,logit,1.0
0.2295386042198006,8.713131313131314,0.5,erf,loss,0.5702800714123972,logit,1.0
0.22696011004126546,8.812121212121212,0.5,erf,loss,0.569770987001327,logit,1.0
0.22443890274314213,8.911111111111111,0.5,erf,loss,0.5692740239557904,logit,1.0
0.2219730941704036,9.01010101010101,0.5,erf,loss,0.5687887557678797,logit,1.0
0.21956087824351297,9.10909090909091,0.5,erf,loss,0.5683147252958137,logit,1.0
0.21720052654673103,9.208080808080808,0.5,erf,loss,0.5678516337812037,logit,1.0
0.2148903841979596,9.307070707070707,0.5,erf,loss,0.5673990626990517,logit,1.0
0.21262886597938144,9.406060606060606,0.5,erf,loss,0.566956587975199,logit,1.0
0.2104144527098831,9.505050505050505,0.5,erf,loss,0.5665238982920905,logit,1.0
0.2082456878418174,9.604040404040404,0.5,erf,loss,0.5661006699628314,logit,1.0
0.2061211742660837,9.703030303030303,0.5,erf,loss,0.5656868498257728,logit,1.0
0.20403957131079967,9.802020202020202,0.5,erf,loss,0.5652816771365086,logit,1.0
0.20199959192001632,9.901010101010101,0.5,erf,loss,0.5648852979425655,logit,1.0
0.2,10.0,0.5,erf,loss,0.5644972029684925,logit,1.0
