alpha,gamma,sigma,activation,minimized_quantity,lambda_opt
30.0,1.0,0.5,matching,loss,0.08803373396813521
40.0,1.0,0.5,matching,loss,0.08675814620090667
50.0,1.0,0.5,matching,loss,0.0859845149908736
60.0,1.0,0.5,matching,loss,0.08547961442058798
70.0,1.0,0.5,matching,loss,0.08511422510529702
80.0,1.0,0.5,matching,loss,0.08483655185533735
90.0,1.0,0.5,matching,loss,0.08462773839924177
100.0,1.0,0.5,matching,loss,0.0844529857833311
250.0,1.0,0.5,matching,loss,0.08353943047682842
500.0,1.0,0.5,matching,loss,0.08323055916733198
1000.0,1.0,0.5,matching,loss,0.0830895188482427
2500.0,1.0,0.5,matching,loss,0.08281645772309466
5000.0,1.0,0.5,matching,loss,0.08264455278127619
7500.0,1.0,0.5,matching,loss,0.0829009818772616
10000.0,1.0,0.5,matching,loss,0.08253184187933779

0.1,1.0,0.5,matching,error,0.1577413517673625
0.2,1.0,0.5,matching,error,0.15467114844093896
0.3,1.0,0.5,matching,error,0.1517642969264412
0.4,1.0,0.5,matching,error,0.1489810137593021
0.5,1.0,0.5,matching,error,0.14632296442344622
0.6,1.0,0.5,matching,error,0.1437405978218278
0.7,1.0,0.5,matching,error,0.14135056599525805
0.8,1.0,0.5,matching,error,0.139017925508444
0.9,1.0,0.5,matching,error,0.13685558319522698
1.0,1.0,0.5,matching,error,0.1348157735278827
2.0,1.0,0.5,matching,error,0.11980242997439505
3.0,1.0,0.5,matching,error,0.11110243241352302
4.0,1.0,0.5,matching,error,0.10574522057410646
5.0,1.0,0.5,matching,error,0.10232807920726525
6.0,1.0,0.5,matching,error,0.10011037966749406
7.0,1.0,0.5,matching,error,0.09866824699818119
8.0,1.0,0.5,matching,error,0.09776705561799284
9.0,1.0,0.5,matching,error,0.09724973738019009
10.0,1.0,0.5,matching,error,0.09696717983678844
20.0,1.0,0.5,matching,error,0.1006731939828504
30.0,1.0,0.5,matching,error,0.1081302342897636
40.0,1.0,0.5,matching,error,0.11640301208356776
50.0,1.0,0.5,matching,error,0.1250475182059243
60.0,1.0,0.5,matching,error,0.13385410030756598
70.0,1.0,0.5,matching,error,0.14285027885913998
80.0,1.0,0.5,matching,error,0.15193253187453729
90.0,1.0,0.5,matching,error,0.16093309095738798
100.0,1.0,0.5,matching,error,0.16998597173623423
250.0,1.0,0.5,matching,error,0.3076245649013603
500.0,1.0,0.5,matching,error,0.5385533890826177
1000.0,1.0,0.5,matching,error,0.9962239244520963
1500.0,1.0,0.5,matching,error,1.4560797373015626
2000.0,1.0,0.5,matching,error,1.8199420201831187
2500.0,1.0,0.5,matching,error,2.380572581808209
5000.0,1.0,0.5,matching,error,4.65246043386427
6000.0,1.0,0.5,matching,error,5.572062906081867
6500.0,1.0,0.5,matching,error,6.239115347497898
7000.0,1.0,0.5,matching,error,6.554251334296351
7500.0,1.0,0.5,matching,error,6.970526203770078
8000.0,1.0,0.5,matching,error,7.413793735808697
9000.0,1.0,0.5,matching,error,8.33186879422305
10000.0,1.0,0.5,matching,error,9.248693923322923

0.1,1.0,0.5,matching,loss_laplace,0.07963028203528685
0.5,1.0,0.5,matching,loss_laplace,0.0647555277013374
0.6,1.0,0.5,matching,loss_laplace,0.06182967250356096
1.0,1.0,0.5,matching,loss_laplace,0.05374428075532222
1.5,1.0,0.5,matching,loss_laplace,0.051451528193194214
2.0,1.0,0.5,matching,loss_laplace,0.05293081646669259
2.5,1.0,0.5,matching,loss_laplace,0.05422671870891806
3.0,1.0,0.5,matching,loss_laplace,0.05481308187962748
3.5,1.0,0.5,matching,loss_laplace,0.054933795049765956
4.0,1.0,0.5,matching,loss_laplace,0.054824592087633184
4.5,1.0,0.5,matching,loss_laplace,0.054598435147364524
5.0,1.0,0.5,matching,loss_laplace,0.05432352351888385
6.0,1.0,0.5,matching,loss_laplace,0.053773290366105925
7.0,1.0,0.5,matching,loss_laplace,0.053288940308506484
8.0,1.0,0.5,matching,loss_laplace,0.05288094124689501
9.0,1.0,0.5,matching,loss_laplace,0.052527957278215145
10.0,1.0,0.5,matching,loss_laplace,0.05223117542104876

0.1,1.0,0.5,matching,loss_pb,0.0803322403141103
0.5,1.0,0.5,matching,loss_pb,0.08025720792406389
0.6,1.0,0.5,matching,loss_pb,0.08022734893925906
1.0,1.0,0.5,matching,loss_pb,0.0800863844139148
1.5,1.0,0.5,matching,loss_pb,0.07990376585430921
2.0,1.0,0.5,matching,loss_pb,0.0797468897767005
2.5,1.0,0.5,matching,loss_pb,0.0796357735705316 
3.0,1.0,0.5,matching,loss_pb,0.07956891028856941
3.5,1.0,0.5,matching,loss_pb,0.07953863243093474
4.0,1.0,0.5,matching,loss_pb,0.07953567965322943
4.5,1.0,0.5,matching,loss_pb,0.07955184848405032
5.0,1.0,0.5,matching,loss_pb,0.07958017398670961
6.0,1.0,0.5,matching,loss_pb,0.07965719012839105
7.0,1.0,0.5,matching,loss_pb,0.07974394391350142
8.0,1.0,0.5,matching,loss_pb,0.07982787578008047
