alpha,gamma,sigma,activation,error,lambda,logit,rho
0.8075040783034256,2.476767676767677,0.5,erf,error,0.1324182781828849,logit,1.0
0.776470588235294,2.575757575757576,0.5,erf,error,0.13524814519536463,logit,1.0
0.7477341389728096,2.674747474747475,0.5,erf,error,0.13807918667641508,logit,1.0
0.7210487982520029,2.773737373737374,0.5,erf,error,0.14090481076672795,logit,1.0
0.6962025316455694,2.8727272727272735,0.5,erf,error,0.14371969715037547,logit,1.0
0.6730115567641058,2.9717171717171724,0.5,erf,error,0.1465194657049622,logit,1.0
0.6513157894736841,3.0707070707070714,0.5,erf,error,0.14930065317327082,logit,1.0
0.6309751434034415,3.1696969696969703,0.5,erf,error,0.1520604062369459,logit,1.0
0.6118665018541408,3.2686868686868693,0.5,erf,error,0.15479646040420944,logit,1.0
0.5938812237552489,3.3676767676767683,0.5,erf,error,0.15750796876536477,logit,1.0
0.5769230769230769,3.466666666666667,0.5,erf,error,0.1601913057521164,logit,1.0
0.5609065155807365,3.565656565656566,0.5,erf,error,0.16284648771095625,logit,1.0
0.5457552370452039,3.664646464646465,0.5,erf,error,0.16547263778165652,logit,1.0
0.5314009661835748,3.763636363636364,0.5,erf,error,0.16806912003490226,logit,1.0
0.5177824267782426,3.862626262626263,0.5,erf,error,0.17063543702755848,logit,1.0
0.504844467108618,3.9616161616161625,0.5,erf,error,0.17317125708621897,logit,1.0
0.49253731343283574,4.060606060606061,0.5,erf,error,0.17567623485599648,logit,1.0
0.48081593006313733,4.15959595959596,0.5,erf,error,0.1781505324465533,logit,1.0
0.469639468690702,4.258585858585859,0.5,erf,error,0.18059405394925346,logit,1.0
0.4589707927677329,4.357575757575758,0.5,erf,error,0.18300675200747307,logit,1.0
0.44877606527651853,4.456565656565657,0.5,erf,error,0.18538887328466971,logit,1.0
0.4390243902439024,4.555555555555556,0.5,erf,error,0.18774056401068898,logit,1.0
0.42968749999999994,4.654545454545455,0.5,erf,error,0.19006206604390594,logit,1.0
0.42073948151296214,4.753535353535354,0.5,erf,error,0.1923536335605402,logit,1.0
0.4121565362198168,4.852525252525253,0.5,erf,error,0.19461558958260722,logit,1.0
0.40391676866585063,4.951515151515152,0.5,erf,error,0.19684819471512563,logit,1.0
0.39599999999999996,5.050505050505051,0.5,erf,error,0.19905204060423487,logit,1.0
0.38838760298156133,5.14949494949495,0.5,erf,error,0.20122705632538457,logit,1.0
0.38106235565819857,5.248484848484849,0.5,erf,error,0.20337410503306474,logit,1.0
